id	img
1	Image/button/btn_01_h.png
2	Image/button/btn_01_n.png
3	Image/button/btn_close_h.png
4	Image/button/btn_close_n.png
5	Image/button/login_enter_h.png
6	Image/button/login_enter_n.png
7	Image/button/nextstagebtn-disabled.jpg
8	Image/button/nextstagebtn.jpg
9	Image/chat/1.png
10	Image/chat/10.png
11	Image/chat/11.png
12	Image/chat/2.png
13	Image/chat/3.png
14	Image/chat/4.png
15	Image/chat/5.png
16	Image/chat/6.png
17	Image/chat/7.png
18	Image/chat/8.png
19	Image/chat/9.png
20	Image/chat/dialogue_arro.png
21	Image/chat/dialogue_content_b.png
22	Image/chat/dialogue_name_b.png
23	Image/common/text_bk.png
24	Image/common/viewbg1.png
25	Image/Fight/animation/boss0526/boss0526-ok0.png
26	Image/Fight/animation/DemoPlayer/DemoPlayer0.png
27	Image/Fight/animation/DemoPlayer/DemoPlayer1.png
28	Image/Fight/animation/Forg/forg_00.png
29	Image/Fight/animation/Forg/forg_00_PList.Dir/Image_Fight_UI_Fog_0_fog01.png
30	Image/Fight/animation/Forg/forg_00_PList.Dir/Image_Fight_UI_Fog_0_fog02.png
31	Image/Fight/animation/grass/grass0.png
32	Image/Fight/animation/grass/grass0_PList.Dir/grass01.png
33	Image/Fight/animation/grass/grass0_PList.Dir/grass02.png
34	Image/Fight/animation/Hero/Hero0.png
35	Image/Fight/animation/tauren/tauren0.png
36	Image/Fight/animation/tree/tree0.png
37	Image/Fight/animation/tree/tree0_PList.Dir/tree01.png
38	Image/Fight/animation/tree/tree0_PList.Dir/tree02.png
39	Image/Fight/animation/tree/tree0_PList.Dir/tree03.png
40	Image/Fight/animation/xuanfeng/xuanfeng0.png
41	Image/Fight/animation/xuanfeng/xuanfeng1.png
42	Image/Fight/animation/xuanfeng/xuanfeng2.png
43	Image/Fight/animation/xuanfeng/xuanfeng3.png
44	Image/Fight/particl/rain/rain.png
45	Image/Fight/Scene/0/0_back.png
46	Image/Fight/Scene/0/0_front.png
47	Image/Fight/Scene/0/0_middle.png
48	Image/Fight/Scene/0/fence01.png
49	Image/Fight/Scene/0/sky01.png
50	Image/Fight/Scene/3/background01.png
51	Image/Fight/Scene/3/fence01.png
52	Image/Fight/Scene/3/front01.png
53	Image/Fight/Scene/3/middle01.png
54	Image/Fight/Scene/3/sky01.png
55	Image/Fight/skill/baozha01/baozha010.png
56	Image/Fight/skill/baozha02/baozha020.png
57	Image/Fight/skill/baozha03/baozha030.png
58	Image/Fight/skill/baozha04/baozha040.png
59	Image/Fight/skill/beiji01/beiji010.png
60	Image/Fight/skill/beiji03/beiji030.png
61	Image/Fight/skill/buff01/buff010.png
62	Image/Fight/skill/guangquan02/guangquan020.png
63	Image/Fight/skill/guanquan01/guanquan010.png
64	Image/Fight/skill/huoqiu01/huoqiu010.png
65	Image/Fight/skill/huoqiu02/huoqiu020.png
66	Image/Fight/skill/huoyan01/huoyan010.png
67	Image/Fight/skill/xuanfeng/xuanfeng0.png
68	Image/Fight/skill/xuanfeng/xuanfeng1.png
69	Image/Fight/skill/xuanfeng/xuanfeng2.png
70	Image/Fight/skill/xuanfeng/xuanfeng3.png
71	Image/Fight/UI/baoxiang.png
72	Image/Fight/UI/btn_bg_h.png
73	Image/Fight/UI/btn_bg_n.png
74	Image/Fight/UI/CritBlood.png
75	Image/Fight/UI/dengjibiankung02.png
76	Image/Fight/UI/diban.png
77	Image/Fight/UI/green.png
78	Image/Fight/UI/GreenBlood.png
79	Image/Fight/UI/green_back.png
80	Image/Fight/UI/hpline.png
81	Image/Fight/UI/hpline_bg.png
82	Image/Fight/UI/jinbi.png
83	Image/Fight/UI/jindutiaodiban.png
84	Image/Fight/UI/Lose.png
85	Image/Fight/UI/nuqi01.png
86	Image/Fight/UI/nuqinum.png
87	Image/Fight/UI/red.png
88	Image/Fight/UI/RedBlood.png
89	Image/Fight/UI/red_back.png
90	Image/Fight/UI/shanliang.png
91	Image/Fight/UI/shijian.png
92	Image/Fight/UI/touxiangbiankuang.png
93	Image/Fight/UI/touxiang_guanyu.png
94	Image/Fight/UI/UI_sample01.png
95	Image/Fight/UI/win.png
96	Image/Fight/UI/xuetiao.png
97	Image/Fight/UI/zidongzhandou01.png
98	Image/Fight/UI/zidongzhandou02.png
99	Image/hero/head_icon/1.png
100	Image/hero/head_icon/2.png
101	Image/hero/head_icon/3.png
102	Image/hero/head_icon/4.png
103	Image/login/bg.jpg
104	Image/login/bg2.png
105	Image/login/enter_h.png
106	Image/login/enter_n.png
107	Image/login/login_word.png
108	Image/login/progress_bar.png
109	Image/login/progress_bar_bg.png
110	Image/login/sword.png
111	Image/login/text_button_h.png
112	Image/login/text_button_n.png
113	Image/main/main_bg.jpg
